id	name	bpm	artist	duration_ms	external_url	
6iSt2cHurhgNhlrVoeOzzt	Mr. Ghost Goes to Town	175.9	Roy Eldridge	173293	https://open.spotify.com/track/6iSt2cHurhgNhlrVoeOzzt	
0oq6kQjqEYH6Z7bj7gbbDl	Life Begins When You're In Love	176	Teddy Wilson & His Orchestra;Billie Holiday	182520	https://open.spotify.com/track/0oq6kQjqEYH6Z7bj7gbbDl	
2e9vNPMwkpN92JygOvaTDn	Till Tom Special	177.8	Charlie Christian	184706	https://open.spotify.com/track/2e9vNPMwkpN92JygOvaTDn	
33qfrEE61vOHsdwvU0wLkK	The D.i.y. Song	178.2	Hep Chaps	215960	https://open.spotify.com/track/33qfrEE61vOHsdwvU0wLkK	
3kvKuW8SD7e0wsoXcLubFZ	Cherokee	179	Charlie Barnet & His Orchestra	198666	https://open.spotify.com/track/3kvKuW8SD7e0wsoXcLubFZ	
4Kq0wSx9fzMZVKtPwWnmHk	Communications (12-22-47)	179	Slim Gaillard	149613	https://open.spotify.com/track/4Kq0wSx9fzMZVKtPwWnmHk	
2iQH2Ljuf19zVaejNXJjdr	Let the Great Big World Keep On Turning	180	Peoria Jazzband	283960	https://open.spotify.com/track/2iQH2Ljuf19zVaejNXJjdr	
6nvr1XWz9MtFPx9iAwK4HT	Viper Mad	184	Sidney Bechet	185466	https://open.spotify.com/track/6nvr1XWz9MtFPx9iAwK4HT	
4N9xydDYNYjwzotFvupD8q	Dickie's Dream	184	Hep Chaps	237200	https://open.spotify.com/track/4N9xydDYNYjwzotFvupD8q	
2hWVb20RUKIAT4bnLeyfFM	Fee fi fo fum	184	Artie Shaw	171202	https://open.spotify.com/track/2hWVb20RUKIAT4bnLeyfFM	
0EqKWVAB16zpbxYb7PCvHb	Lindyhopper's Delight	184.57	Chick Webb	171164	https://open.spotify.com/track/0EqKWVAB16zpbxYb7PCvHb	
3RCXLYEW5Ltam32zLupRnO	The Grabtown Grapple	184.57	Artie Shaw & his Gramercy Five	177133	https://open.spotify.com/track/3RCXLYEW5Ltam32zLupRnO	
5yprNRSsjKHf9qQ7QV52d1	You Shall Reap What you Sow (02-02-38)	184.57	Lil Hardin Armstrong	182373	https://open.spotify.com/track/5yprNRSsjKHf9qQ7QV52d1	
5BtlP8WrwVOwLv2s5wQaFD	Lady Be Good	184.58	Hep Chaps	211373	https://open.spotify.com/track/5BtlP8WrwVOwLv2s5wQaFD	
0tD1cznp79QU7YyGUkelK2	Sweet Sue	184.58	Django Reinhardt	172573	https://open.spotify.com/track/0tD1cznp79QU7YyGUkelK2	
6ALGkRRy3kNBtYAm0zAQvE	Topsy	184.58	George Gee And The Jump Jivin' Wailers	168386	https://open.spotify.com/track/6ALGkRRy3kNBtYAm0zAQvE	
1UyHwmtFidk1dtx0gfVi2K	Sweet Sue / Just You	184.58	Pearl Django	221786	https://open.spotify.com/track/1UyHwmtFidk1dtx0gfVi2K	
7xv8DXxoMEBDP8zy1Cjw5q	Jitter Joe	185	Girls from Mars	188426	https://open.spotify.com/track/7xv8DXxoMEBDP8zy1Cjw5q	
1t2IlzqsrR6smVFNBkYod2	Snatch And Grab It	187	Julia Lee	175773	https://open.spotify.com/track/1t2IlzqsrR6smVFNBkYod2	
7EPf22bxtizoe8XLAjAh9d	The Right Idea	187	Charlie Barnet	196545	https://open.spotify.com/track/7EPf22bxtizoe8XLAjAh9d	
0Y2GIAKy0y2nJTevVZlS9H	Rock-A-Bye Basie	189	Count Basie	184466	https://open.spotify.com/track/0Y2GIAKy0y2nJTevVZlS9H	
5pa2rFYaOgMABWS7mykkJo	Blue Lou	189	Bunny Berigan	173026	https://open.spotify.com/track/5pa2rFYaOgMABWS7mykkJo	
5GMgXFAE165COiSXLElbAV	Undecided	190	Ella Fitzgerald	201160	https://open.spotify.com/track/5GMgXFAE165COiSXLElbAV	
